# Getting manual annotations from -m
# Reading GFF file manually_edited_genes_revised.gff
# File contained:
#exon	1397
#CDS	1181
#mRNA	270
#gene	224
#rRNA	22
#transcript	3
# Collected exons for 295 transcripts
# Getting main gene annotation from -g
# Reading GFF file BRAKER2_ONT-RNA.revised.sort.gff3
ERROR: identical bounds of subfeature exon within brakerONT.m1-g9644.t1, 4408681 4409142 , check GFF
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3215.1 in Avas.s003.g924.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3251.1 in Avas.s003.g972.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3304.1 in Avas.s004.g137.i1
INFORMATION: cannot find alternate isoform brakerONT.jg13776.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE018.t1 in Avas.s004.g172.i1
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.4558.1 in Avas.s004.g291.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3457.1 in Avas.s004.g319.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3470.1 in Avas.s004.g328.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3551.1 in Avas.s004.g435.i1
INFORMATION: cannot find alternate isoform brakerONT.jg14075.t2, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3605.1 in Avas.s004.g507.i1
INFORMATION: cannot find alternate isoform brakerONT.jg14148.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for PIN_pipeline_transcript_f229ae09-2e77-48f3-ac64-bb48b554762e in Avas.s004.g597.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3707.1 in Avas.s004.g622.i1
REVERSE flag found: forcing reverse strand - for fs_on_scaffold_004_3 in Avas.s004.g791.i1
INFORMATION: cannot find alternate isoform brakerONT.jg14400.t2, trying in main instead
FORWARD flag found: forcing forward strand + for MSE145.t1 in Avas.s004.g841.i1
INFORMATION: cannot find alternate isoform brakerONT.jg14412.t2, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.5511.1 in Avas.s004.g844.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.5520.1 in Avas.s004.g854.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.5532.1 in Avas.s004.g865.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.5549.1 in Avas.s004.g881.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.5618.1 in Avas.s004.g956.i1
FORWARD flag found: forcing forward strand + for MSE146.t1 in Avas.s004.g964.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.5637.1 in Avas.s004.g976.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.5638.1 in Avas.s004.g977.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.5657.2 in Avas.s004.g998.i1
FORWARD flag found: forcing forward strand + for MSE147.t1 in Avas.s004.g1011.i1
REVERSE flag found: forcing reverse strand - for PIN_5TSL_stranded_transcript_3c00e890-68b1-45cc-b193-91352235b412 in Avas.s005.g8.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3789.1 in Avas.s005.g18.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3791.1 in Avas.s005.g20.i1
REVERSE flag found: forcing reverse strand - for PE-RNA_hisat2_NS_tx.5440.1 in Avas.s005.g21.i1
FORWARD flag found: forcing forward strand + for s005.mRNA19 in Avas.s005.g24.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3802.1 in Avas.s005.g26.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3821.1 in Avas.s005.g37.i1
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_89a03167-ecc4-47eb-9611-ec0c41922895 in Avas.s005.g43.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3844.1 in Avas.s005.g54.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3857.1 in Avas.s005.g72.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3864.1 in Avas.s005.g80.i1
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.5594.1 in Avas.s005.g100.i1
REVERSE flag found: forcing reverse strand - for MSE150.t1 in Avas.s005.g101.i1
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_d5aad5dd-9126-4864-b926-f972640703a1 in Avas.s005.g120.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3925.1 in Avas.s005.g148.i1
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_299a5db0-0824-4660-b172-67e0dc4cc163 in Avas.s005.g151.i1
INFORMATION: cannot find alternate isoform brakerONT.jg17144.t1, trying in main instead
FORWARD flag found: forcing forward strand + for PIN_pipeline_transcript_24af0b59-ebb0-40db-b9cd-ce03f83c32ba in Avas.s005.g255.i1
FORWARD flag found: forcing forward strand + for PIN_pipeline_transcript_704fa25e-a7f9-41ec-9789-e9c36364f982 in Avas.s005.g256.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.4035.1 in Avas.s005.g267.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.4039.1 in Avas.s005.g275.i1
INFORMATION: cannot find alternate isoform brakerONT.jg17189.t1, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4083.1 in Avas.s005.g320.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4084.1 in Avas.s005.g321.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4089.1 in Avas.s005.g326.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4090.1 in Avas.s005.g327.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4091.1 in Avas.s005.g328.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4092.1 in Avas.s005.g329.i1
REVERSE flag found: forcing reverse strand - for PIN_5TSL_stranded_transcript_6bd4f982-edb8-4023-a06b-01d0a23c7dd6 in Avas.s005.g343.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4107.1 in Avas.s005.g349.i1
FORWARD flag found: forcing forward strand + for MSE019.t1 in Avas.s005.g364.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4119.1 in Avas.s005.g367.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4132.1 in Avas.s005.g386.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3761.1 in Avas.s005.g395.i1
INFORMATION: cannot find alternate isoform brakerONT.jg17297.t1, trying in main instead
FORWARD flag found: forcing forward strand + for MSE151.t1 in Avas.s005.g431.i1
INFORMATION: cannot find alternate isoform brakerONT.jg17335.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17349.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17354.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17457.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17491.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE020.t1 in Avas.s005.g594.i1
INFORMATION: cannot find alternate isoform brakerONT.jg17525.t1, trying in main instead
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.5939.1 in Avas.s005.g629.i1
FORWARD flag found: forcing forward strand + for PIN_pipeline_transcript_42bab79d-a18e-4e00-9602-ce4cf181018e in Avas.s005.g638.i1
INFORMATION: cannot find alternate isoform brakerONT.jg17549.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17572.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17578.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE021.t1 in Avas.s005.g692.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.5233.1 in Avas.s005.g717.i1
INFORMATION: cannot find alternate isoform brakerONT.jg17613.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17623.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17639.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17645.t2, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.4880.1 in Avas.s005.g774.i1
FORWARD flag found: forcing forward strand + for PIN_stepwise_transcript_954e4822-dcfd-4a10-8068-967b27a6796b in Avas.s005.g853.i1
INFORMATION: cannot find alternate isoform brakerONT.jg17745.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17759.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17797.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17799.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17827.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17883.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17894.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17956.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg17963.t2, trying in main instead
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_a908dca4-01ef-4eea-9bb0-bc4c17538101 in Avas.s005.g1074.i1
FORWARD flag found: forcing forward strand + for MSE022.t1 in Avas.s005.g1117.i1
INFORMATION: cannot find alternate isoform brakerONT.jg18039.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg18100.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg18100.t2, trying in main instead
FORWARD flag found: forcing forward strand + for fs_on_scaffold_005_4 in Avas.s005.g1192.i1
REVERSE flag found: forcing reverse strand - for MSE023.t1 in Avas.s005.g1195.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.5017.1 in Avas.s006.g19.i1
REVERSE flag found: forcing reverse strand - for s006.mRNA20 in Avas.s006.g27.i1
REVERSE flag found: forcing reverse strand - for MSE024.t1 in Avas.s006.g28.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.5047.1 in Avas.s006.g29.i1
REVERSE flag found: forcing reverse strand - for fs_on_scaffold_006_5 in Avas.s006.g38.i1
INFORMATION: cannot find alternate isoform brakerONT.jg1109.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg1180.t2, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.5325.1 in Avas.s006.g116.i1
FORWARD flag found: forcing forward strand + for MSE025.t1 in Avas.s006.g117.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.5327.1 in Avas.s006.g121.i1
FORWARD flag found: forcing forward strand + for MSE026.t1 in Avas.s006.g132.i1
REVERSE flag found: forcing reverse strand - for MSE152.t1 in Avas.s006.g135.i1
REVERSE flag found: forcing reverse strand - for MSE027.t1 in Avas.s006.g136.i1
REVERSE flag found: forcing reverse strand - for MSE153.t1 in Avas.s006.g137.i1
REVERSE flag found: forcing reverse strand - for MSE154.t1 in Avas.s006.g138.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.5344.1 in Avas.s006.g139.i1
INFORMATION: cannot find alternate isoform brakerONT.jg1233.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.5259.1 in Avas.s006.g167.i1
REVERSE flag found: forcing reverse strand - for PIN_5TSL_stranded_transcript_ce9a6987-4cf4-486f-945b-2d0278ae26e9 in Avas.s006.g184.i1
REVERSE flag found: forcing reverse strand - for MSE155.t1 in Avas.s006.g193.i1
INFORMATION: cannot find alternate isoform brakerONT.jg1270.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg1277.t1, trying in main instead
FORWARD flag found: forcing forward strand + for MSE157.t1 in Avas.s006.g226.i1
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_3260b925-f072-40f5-b3b8-53da98a24e9c in Avas.s006.g268.i1
FORWARD flag found: forcing forward strand + for MSE028.t1 in Avas.s006.g268.i2
FORWARD flag found: forcing forward strand + for MSE029.t1 in Avas.s006.g299.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7362.1 in Avas.s006.g535.i1
REVERSE flag found: forcing reverse strand - for brakerONT.jg1626.t1 in Avas.s006.g560.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7381.1 in Avas.s006.g560.i2
FORWARD flag found: forcing forward strand + for brakerONT.jg1641.t1 in Avas.s006.g574.i1
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_2eb20e22-09eb-4387-9a9f-f5c58e12cd53 in Avas.s006.g574.i2
REVERSE flag found: forcing reverse strand - for MSE030.t1 in Avas.s006.g576.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7410.1 in Avas.s006.g592.i1
REVERSE flag found: forcing reverse strand - for brakerONT.jg1687.t1 in Avas.s006.g619.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7433.1 in Avas.s006.g619.i2
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7498.1 in Avas.s006.g676.i1
REVERSE flag found: forcing reverse strand - for PIN_5TSL_stranded_transcript_bd4b1ddd-e7d0-4eba-955d-e02274076997 in Avas.s006.g818.i1
REVERSE flag found: forcing reverse strand - for MSE031.t1 in Avas.s006.g819.i1
INFORMATION: cannot find alternate isoform brakerONT.jg1882.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg1885.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7625.1 in Avas.s006.g836.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7645.1 in Avas.s006.g857.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7649.1 in Avas.s006.g861.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7660.1 in Avas.s006.g868.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7663.1 in Avas.s006.g872.i1
FORWARD flag found: forcing forward strand + for s006.mRNA759 in Avas.s006.g876.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7666.1 in Avas.s006.g879.i1
FORWARD flag found: forcing forward strand + for brakerONT.jg1926.t1 in Avas.s006.g887.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7671.1 in Avas.s006.g887.i2
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7675.1 in Avas.s006.g898.i1
REVERSE flag found: forcing reverse strand - for brakerONT.jg1937.t1 in Avas.s006.g899.i1
REVERSE flag found: forcing reverse strand - for PE-RNA_hisat2_NS_tx.7199.1 in Avas.s006.g899.i2
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7686.1 in Avas.s006.g908.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7702.1 in Avas.s006.g922.i1
FORWARD flag found: forcing forward strand + for MSE032.t1 in Avas.s006.g937.i1
INFORMATION: cannot find alternate isoform brakerONT.jg1967.t2, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7724.1 in Avas.s006.g944.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7728.1 in Avas.s006.g946.i1
REVERSE flag found: forcing reverse strand - for PIN_5TSL_stranded_transcript_0553049c-d562-4ae8-8a34-0d4c78fb3a03 in Avas.s006.g952.i1
FORWARD flag found: forcing forward strand + for MSE033.t1 in Avas.s006.g979.i1
REVERSE flag found: forcing reverse strand - for MSE034.t1 in Avas.s006.g982.i1
INFORMATION: cannot find alternate isoform brakerONT.jg2005.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE035.t1 in Avas.s006.g986.i1
INFORMATION: cannot find alternate isoform brakerONT.jg2008.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7771.1 in Avas.s006.g1000.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7781.1 in Avas.s006.g1006.i1
REVERSE flag found: forcing reverse strand - for MSE036.t1 in Avas.s006.g1006.i2
FORWARD flag found: forcing forward strand + for MSE156.t1 in Avas.s006.g1007.i1
FORWARD flag found: forcing forward strand + for PIN_stepwise_transcript_3320b448-1585-4fc9-83b1-9a7c4e0ffadc in Avas.s006.g1014.i1
FORWARD flag found: forcing forward strand + for MSE037.t1 in Avas.s006.g1036.i1
INFORMATION: cannot find alternate isoform brakerONT.jg2068.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg2105.t1, trying in main instead
FORWARD flag found: forcing forward strand + for PIN_pipeline_transcript_39df5ea2-1270-4f03-9cae-398998a6d59d in Avas.s006.g1115.i1
REVERSE flag found: forcing reverse strand - for PIN_pipeline_transcript_621083e3-1a19-4190-8703-8a4ac9437098 in Avas.s006.g1118.i1
REVERSE flag found: forcing reverse strand - for MSE158.t1 in Avas.s007.g30.i1
REVERSE flag found: forcing reverse strand - for MSE159.t1 in Avas.s007.g31.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.6047.1 in Avas.s007.g62.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6048.1 in Avas.s007.g63.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6049.1 in Avas.s007.g64.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6050.1 in Avas.s007.g65.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6052.1 in Avas.s007.g66.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6053.1 in Avas.s007.g67.i1
REVERSE flag found: forcing reverse strand - for MSE038.t1 in Avas.s007.g68.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6055.1 in Avas.s007.g69.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6056.1 in Avas.s007.g70.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6058.1 in Avas.s007.g71.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6059.1 in Avas.s007.g72.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.6060.1 in Avas.s007.g73.i1
FORWARD flag found: forcing forward strand + for MSE039.t1 in Avas.s007.g74.i1
FORWARD flag found: forcing forward strand + for MSE040.t1 in Avas.s007.g75.i1
REVERSE flag found: forcing reverse strand - for MSE041.t1 in Avas.s007.g76.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6064.1 in Avas.s007.g77.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6065.1 in Avas.s007.g78.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6066.1 in Avas.s007.g79.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6067.1 in Avas.s007.g80.i1
REVERSE flag found: forcing reverse strand - for MSE042.t1 in Avas.s007.g81.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6069.1 in Avas.s007.g82.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.6075.1 in Avas.s007.g85.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6076.1 in Avas.s007.g86.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.6093.1 in Avas.s007.g119.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.6127.1 in Avas.s007.g153.i1
FORWARD flag found: forcing forward strand + for MSE160.t1 in Avas.s007.g196.i1
FORWARD flag found: forcing forward strand + for MSE161.t1 in Avas.s007.g197.i1
REVERSE flag found: forcing reverse strand - for MSE162.t1 in Avas.s007.g198.i1
FORWARD flag found: forcing forward strand + for MSE163.t1 in Avas.s007.g199.i1
INFORMATION: cannot find alternate isoform brakerONT.jg16216.t2, trying in main instead
FORWARD flag found: forcing forward strand + for MSE043.t1 in Avas.s007.g209.i1
FORWARD flag found: forcing forward strand + for MSE044.t1 in Avas.s007.g210.i1
REVERSE flag found: forcing reverse strand - for MSE045.t1 in Avas.s007.g211.i1
FORWARD flag found: forcing forward strand + for MSE046.t1 in Avas.s007.g214.i1
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.7624.1 in Avas.s007.g215.i1
FORWARD flag found: forcing forward strand + for MSE047.t1 in Avas.s007.g225.i1
INFORMATION: cannot find alternate isoform brakerONT.jg16251.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg16252.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg16252.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg16266.t2, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.6817.1 in Avas.s007.g308.i1
FORWARD flag found: forcing forward strand + for fs_on_scaffold_007_6 in Avas.s007.g312.i1
INFORMATION: cannot find alternate isoform brakerONT.jg16335.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg16348.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg16356.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg16358.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE048.t1 in Avas.s007.g365.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.6908.1 in Avas.s007.g411.i1
REVERSE flag found: forcing reverse strand - for MSE164.t1 in Avas.s007.g423.i1
INFORMATION: cannot find alternate isoform brakerONT.jg16444.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg16448.t2, trying in main instead
FORWARD flag found: forcing forward strand + for fs_on_scaffold_007_8 in Avas.s007.g433.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6932.1 in Avas.s007.g434.i1
INFORMATION: cannot find alternate isoform brakerONT.jg16453.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg16477.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for PE-RNA_hisat2_NS_tx.7854.1 in Avas.s007.g482.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.6993.1 in Avas.s007.g499.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7014.1 in Avas.s007.g523.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7028.1 in Avas.s007.g541.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7029.1 in Avas.s007.g542.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7044.1 in Avas.s007.g551.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.7045.1 in Avas.s007.g553.i1
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.7962.1 in Avas.s007.g568.i1
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.7964.1 in Avas.s007.g569.i1
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_4e48e3d2-51ff-4199-a522-e75a9b7cf440 in Avas.s007.g576.i1
INFORMATION: cannot find alternate isoform brakerONT.jg16612.t3, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE165.t1 in Avas.s007.g607.i1
REVERSE flag found: forcing reverse strand - for MSE166.t1 in Avas.s007.g608.i1
REVERSE flag found: forcing reverse strand - for MSE167.t1 in Avas.s007.g609.i1
REVERSE flag found: forcing reverse strand - for MSE050.t1 in Avas.s007.g624.i1
REVERSE flag found: forcing reverse strand - for PIN_pipeline_transcript_829731bb-f976-4cab-b772-3449cdf8f211 in Avas.s007.g630.i1
REVERSE flag found: forcing reverse strand - for MSE168.t1 in Avas.s007.g681.i1
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_37d7921d-6eb6-48d9-8a99-92e0d09adda2 in Avas.s007.g704.i1
REVERSE flag found: forcing reverse strand - for fs_on_scaffold_007_9 in Avas.s007.g708.i1
FORWARD flag found: forcing forward strand + for MSE052.t1 in Avas.s007.g716.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7229.1 in Avas.s007.g724.i1
REVERSE flag found: forcing reverse strand - for PE-RNA_hisat2_NS_tx.8155.1 in Avas.s007.g726.i1
REVERSE flag found: forcing reverse strand - for PE-RNA_hisat2_NS_tx.8161.1 in Avas.s007.g730.i1
INFORMATION: cannot find alternate isoform brakerONT.jg16727.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg16731.t1, trying in main instead
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.8207.1 in Avas.s007.g773.i1
FORWARD flag found: forcing forward strand + for MSE053.t1 in Avas.s007.g778.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.7299.1 in Avas.s007.g785.i1
FORWARD flag found: forcing forward strand + for MSE054.t1 in Avas.s007.g791.i1
FORWARD flag found: forcing forward strand + for fs_on_scaffold_007_10 in Avas.s007.g792.i1
FORWARD flag found: forcing forward strand + for PIN_pipeline_transcript_a692bfe9-43aa-4bae-9ffc-1006958ef1bb in Avas.s008.g5.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.6595.1 in Avas.s008.g34.i1
INFORMATION: cannot find alternate isoform brakerONT.jg8735.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8738.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8756.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8801.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8809.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8818.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8826.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8898.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8903.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8920.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg8924.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE148.t1 in Avas.s008.g261.i1
REVERSE flag found: forcing reverse strand - for MSE056.t1 in Avas.s008.g280.i1
INFORMATION: cannot find alternate isoform brakerONT.jg8987.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9001.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9005.t1, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.8016.1 in Avas.s008.g329.i1
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.8497.1 in Avas.s008.g330.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.8036.1 in Avas.s008.g341.i1
INFORMATION: cannot find alternate isoform brakerONT.jg9045.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9049.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9056.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9101.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9106.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE149.t1 in Avas.s008.g429.i1
